"stationid,""latitude"",""longitude"",""max_year"""
D476,49.6896,8.4179,2020
D23,53.0311,9.0233,2020
D277,48.2772,8.883,2020
D20,48.9219,9.9129,2020
D5246,49.2281,6.8059,2018
D2463,50.8532,14.6919,2020
D79,50.6718,7.0155,2020
D5750,51.0314,12.1495,2020
D15,49.2346,10.9667,2020
D41,52.7356,9.5661,2020
D22,48.6317,8.0466,2020
D2792,48.3737,10.7604,2020
D3621,48.8253,10.5067,2020
D2472,52.3194,13.3878,2020
D5201,53.0168,12.3177,2020
D78,52.4853,7.9126,2020
D5196,53.3835,8.1328,2020
D270,48.5699,8.4058,2020
D279,48.7574,9.4514,2020
D2802,50.8864,8.3685,2020
D53,52.585,13.5634,2020
D2481,50.8035,11.5845,2020
D2452,53.3052,10.0124,2020
D2462,54.653,9.1381,2020
D611,54.1711,10.0433,2020
D150,49.7273,8.1164,2020
D590,53.749,11.9799,2020
D259,47.8064,7.6387,2020
D2473,50.9316,6.3431,2020
D87,51.095,11.0479,2020
D55,47.8778,12.024,2020
D21,47.6104,9.6981,2020
D57,48.4799,11.0521,2020
D357,52.3018,7.1301,2020
D488,51.9394,8.5932,2020
D5639,53.6961,7.8085,2020
D245,53.4585,7.5748,2020
D64,51.8488,12.0491,2020
D257,48.727,8.2457,2020
D5927,47.9327,7.9461,2020
D2446,52.4694,11.3311,2020
D5364,50.1838,9.7789,2020
D73,48.6159,13.0506,2020
D2449,52.0959,10.9319,2020
D5753,49.1133,12.4338,2020
D911,52.4265,10.917,2020
D5195,53.5673,12.872,2020
D2419,51.3513,7.6026,2020
D552,48.2638,10.8215,2020
D44,52.9336,8.237,2020
D529,54.1732,12.3415,2016
D1030,53.646,7.4302,2020
D2480,50.0643,8.993,2020
D2541,50.5467,11.0317,2020
D2530,50.9429,13.7022,2020
D3625,49.5568,7.0716,2020
D91,50.7446,9.345,2020
D1056,53.7118,9.3791,2020
D2431,50.1337,10.9317,2020
D211,50.58,8.4685,2020
D839,53.7575,10.9288,2020
