"year","r95p_count","r95p_average"
1981,82,110.4
1982,68,157.4
1983,75,122.5
1984,78,81.5
1985,78,103.6
1986,74,86.3
1987,80,79.2
1988,30,106.4
1989,76,125.7
1990,82,103.3
1991,73,113.2
1992,75,119.5
1993,73,132.4
1994,72,178.9
1995,73,120.5
1996,75,109.6
1997,74,91.5
1998,73,107.4
1999,66,110.8
2000,67,94.2
2001,67,89.2
2002,71,95.7
2003,74,115.2
2004,72,115.9
2005,64,121.3
2006,66,99.7
2007,60,106.0
2008,65,93.8
2009,66,101.5
2010,62,110.6
2011,61,109.5
2012,67,96.6
2013,74,86.5
2014,76,111.8
2015,76,116.5
2016,76,113.1
2017,75,159.1
2018,72,168.8
2019,74,160.1
2020,65,117.0
2021,57,98.5
