"year","count","average"
1981,389,8.6
1982,365,6.52
1983,371,5.91
1984,401,6.13
1985,405,6.08
1986,405,5.79
1987,408,5.79
1988,258,6.38
1989,405,5.85
1990,394,7.07
1991,363,6.33
1992,360,7.79
1993,372,8.05
1994,386,13.25
1995,344,5.95
1996,345,6.02
1997,344,6.08
1998,336,5.75
1999,353,5.28
2000,289,5.94
2001,333,5.89
2002,339,5.52
2003,326,6.1
2004,329,5.59
2005,322,7.8
2006,307,6.34
2007,309,6.09
2008,311,5.71
2009,317,5.5
2010,317,5.76
2011,315,5.45
2012,360,5.62
2013,360,6.56
2014,348,5.88
2015,347,6.04
2016,349,6.88
2017,352,6.57
2018,336,6.98
2019,343,7.45
2020,335,7.25
2021,336,7.24
