"year","count","rx5day_average"
1981,390,77
1982,365,70
1983,371,60
1984,402,61
1985,405,61
1986,405,54
1987,408,57
1988,259,55
1989,405,55
1990,408,65
1991,383,61
1992,383,77
1993,394,71
1994,392,106
1995,374,57
1996,373,57
1997,375,54
1998,362,54
1999,364,37
2000,289,44
2001,334,48
2002,339,47
2003,376,40
2004,371,40
2005,370,39
2006,336,41
2007,339,44
2008,352,40
2009,345,42
2010,361,39
2011,349,41
2012,399,44
2013,391,50
2014,388,45
2015,385,53
2016,387,56
2017,395,51
2018,371,57
2019,377,64
2020,378,58
2021,377,54
