;Europa;Karibik;Naher Osten;Nordamerika;Polarregionen;Südamerika;Südostasien;Westafrika;Zentralasien
1981;56,2;163;51;58;34;99;144;119;63
1982;74,3;123;49;67;42;135;120;140;59
1983;64,7;111;38;59;37;111;112;126;47
1984;57,7;119;24;53;28;99;110;93;50
1985;54,2;98;23;58;30;54;102;79;49
1986;53,1;72;26;54;28;58;106;90;42
1987;57,5;92;18;50;27;81;105;96;45
1988;;103;15;47;26;74;106;88;42
1989;54,1;80;27;49;34;86;112;82;46
1990;57,7;74;52;56;33;102;118;98;54
1991;57,7;76;49;52;32;106;118;119;48
1992;59,5;68;52;52;34;102;144;104;61
1993;71,9;99;48;48;36;106;124;111;59
1994;76,7;75;59;49;51;105;142;161;93
1995;57,0;109;55;66;30;110;118;97;45
1996;53,7;107;42;52;34;98;119;91;44
1997;51,2;91;44;50;25;105;106;95;41
1998;45,9;102;37;56;26;92;118;103;41
1999;44,5;63;15;52;24;56;;;27
2000;45,6;65;39;49;23;89;118;77;33
2001;43,5;58;32;47;22;89;104;84;35
2002;51,1;105;45;51;26;96;110;71;35
2003;46,3;136;35;51;26;74;116;87;28
2004;45,5;104;42;55;25;74;107;87;28
2005;48,4;104;47;64;23;90;127;95;28
2006;48,3;76;49;56;27;86;123;98;28
2007;47,8;81;47;59;24;83;123;94;31
2008;46,4;85;47;59;21;88;131;100;27
2009;46,5;77;51;54;19;80;127;98;29
2010;48,6;81;54;60;21;80;125;101;26
2011;44,8;83;49;56;20;79;127;84;26
2012;43,3;68;44;52;22;83;122;98;28
2013;44,8;81;60;54;21;81;124;96;33
2014;48,5;73;48;56;23;90;116;103;31
2015;43,8;68;57;59;27;85;116;107;34
2016;46,5;79;52;62;26;81;124;107;36
2017;45,9;80;45;60;30;94;127;95;31
2018;48,3;72;46;61;30;86;120;96;35
2019;45,7;77;59;55;29;90;113;91;38
2020;46,4;77;65;54;24;79;116;100;36
2021;50,0;68;47;57;23;83;119;87;34
